name,texto,cluster_textclass
Blisterstick Shaman,"When Blisterstick Shaman enters the battlefield, it deals 1 damage to any target.",326
Gnathosaur,Sacrifice an artifact: Gnathosaur gains trample until end of turn.,120
Hero of Oxid Ridge,"HasteBattle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)Whenever Hero of Oxid Ridge attacks, creatures with power 1 or less can’t block this turn.",90
Koth's Courier,Forestwalk (This creature can’t be blocked as long as defending player controls a Forest.),17
Kuldotha Ringleader,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)Kuldotha Ringleader attacks each combat if able.",84
Spiraling Duelist,Metalcraft — Spiraling Duelist has double strike as long as you control three or more artifacts.,381
Blightwidow,Reach (This creature can block creatures with flying.)Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.),518
Fangren Marauder,"Whenever an artifact is put into a graveyard from the battlefield, you may gain 5 life.",391
Phyrexian Hydra,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)If damage would be dealt to Phyrexian Hydra, prevent that damage. Put a -1/-1 counter on Phyrexian Hydra for each 1 damage prevented this way.",358
Plaguemaw Beast,"{T}, Sacrifice a creature: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",302
Rot Wolf,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)Whenever a creature dealt damage by Rot Wolf this turn dies, you may draw a card.",355
Tangle Mantis,Trample,121
Viridian Corrupter,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)When Viridian Corrupter enters the battlefield, destroy target artifact.",355
"Glissa, the Traitor","First strike, deathtouchWhenever a creature an opponent controls dies, you may return target artifact card from your graveyard to your hand.",492
Bladed Sentinel,{W}: Bladed Sentinel gains vigilance until end of turn.,39
Core Prowler,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)When Core Prowler dies, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",519
Dross Ripper,{2}{B}: Dross Ripper gets +1/+1 until end of turn.,181
Gust-Skimmer,{U}: Gust-Skimmer gains flying until end of turn.,404
Myr Welder,Imprint — {T}: Exile target artifact card from a graveyard.Myr Welder has all activated abilities of all cards exiled with it.,444
Phyrexian Digester,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.),519
Phyrexian Juggernaut,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)Phyrexian Juggernaut attacks each combat if able.,519
Razorfield Rhino,Metalcraft — Razorfield Rhino gets +2/+2 as long as you control three or more artifacts.,428
Rusted Slasher,Sacrifice an artifact: Regenerate Rusted Slasher.,367
Signal Pest,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)Signal Pest can’t be blocked except by creatures with flying or reach.",312
Spin Engine,{R}: Target creature can’t block Spin Engine this turn.,188
Tangle Hulk,{2}{G}: Regenerate Tangle Hulk.,171
Angel of Fury,"FlyingWhen Angel of Fury dies, you may shuffle it into its owner’s library.",178
Angel of Light,"FlyingAt the beginning of your upkeep, return target Spirit card from your graveyard to your hand.",488
Armored Griffin,"Flying, vigilance",166
Red Cliffs Armada,Red Cliffs Armada can’t attack unless defending player controls an Island.,343
Screeching Drake,"FlyingWhen Screeching Drake enters the battlefield, draw a card, then discard a card.",125
Sea Drake,Flying,21
Fire Dragon,"FlyingWhenever Balefire Dragon deals combat damage to a player, it deals that much damage to each creature that player controls.",383
Wolf Pack,Howlpack Wolf can’t block unless you control another Wolf or Werewolf.,378
"Guan Yu, Sainted Warrior","Horsemanship (This creature can’t be blocked except by creatures with horsemanship.)When Guan Yu, Sainted Warrior is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.",126
"Liu Bei, Lord of Shu","Horsemanship (This creature can’t be blocked except by creatures with horsemanship.)Liu Bei, Lord of Shu gets +2/+2 as long as you control a permanent named Guan Yu, Sainted Warrior or a permanent named Zhang Fei, Fierce Warrior.",126
Shu Cavalry,Horsemanship (This creature can’t be blocked except by creatures with horsemanship.),126
Shu Elite Companions,Horsemanship (This creature can’t be blocked except by creatures with horsemanship.),126
Shu General,"Huang Zhong, Shu General can’t be blocked by more than one creature.",44
Shu Soldier-Farmers,"When Shu Soldier-Farmers enters the battlefield, you gain 4 life.",391
"Zhang Fei, Fierce Warrior",Vigilance; horsemanship (This creature can’t be blocked except by creatures with horsemanship.),126
"Lu Meng, Wu General",Horsemanship (This creature can’t be blocked except by creatures with horsemanship.),126
"Sun Ce, Young Conquerer","Horsemanship (This creature can’t be blocked except by creatures with horsemanship.)When Sun Ce, Young Conquerer enters the battlefield, you may return target creature to its owner’s hand.",126
Wu Elite Cavalry,Horsemanship (This creature can’t be blocked except by creatures with horsemanship.),126
Wu Longbowman,"{T}: Wu Longbowman deals 1 damage to any target. Activate only during your turn, before attackers are declared.",360
Wu Warship,Wu Warship can’t attack unless defending player controls an Island.,343
Wei Elite Companions,Horsemanship (This creature can’t be blocked except by creatures with horsemanship.),126
Wei Night Raiders,"Horsemanship (This creature can’t be blocked except by creatures with horsemanship.)Whenever Wei Night Raiders deals damage to an opponent, that player discards a card.",126
Wei Strike Force,Horsemanship (This creature can’t be blocked except by creatures with horsemanship.),126
Young Wei Recruits,Young Wei Recruits can’t block.,459
Corrupt Eunuchs,"When Corrupt Eunuchs enters the battlefield, it deals 2 damage to target creature.",493
"Dong Zhou, the Tyrant","When Dong Zhou, the Tyrant enters the battlefield, target creature an opponent controls deals damage equal to its power to that player.",468
"Lu Bu, Master-at-Arms",Haste; horsemanship (This creature can’t be blocked except by creatures with horsemanship.),126
Raging Minotaur,Haste,68
Zodiac Dragon,"When Zodiac Dragon is put into your graveyard from the battlefield, you may return it to your hand.",422
Hunting Cheetah,"Whenever Hunting Cheetah deals damage to an opponent, you may search your library for a Forest card, reveal that card, put it into your hand, then shuffle.",32
Jungle Lion,Jungle Lion can’t block.,459
"Meng Huo, Barbarian King",Other green creatures you control get +1/+1.,502
Slashing Tiger,"Whenever Slashing Tiger becomes blocked, it gets +2/+2 until end of turn.",192
Alaborn Musketeer,Reach (This creature can block creatures with flying.),225
Champion Lancer,Prevent all damage that would be dealt to Champion Lancer by creatures.,274
Spotted Griffin,Flying,21
Steam Catapult,"{T}: Destroy target tapped creature. Activate only during your turn, before attackers are declared.",136
Cloud Spirit,FlyingCloud Spirit can block only creatures with flying.,345
Owl Familiar,"FlyingWhen Owl Familiar enters the battlefield, draw a card, then discard a card.",1
Talas Researcher,"{T}: Draw a card. Activate only during your turn, before attackers are declared.",533
Dread Reaper,"FlyingWhen Dread Reaper enters the battlefield, you lose 5 life.",308
Foul Spirit,"FlyingWhen Foul Spirit enters the battlefield, sacrifice a land.",373
Prowling Nightstalker,Prowling Nightstalker can’t be blocked except by black creatures.,44
Fire Imp,"When Fire Imp enters the battlefield, it deals 2 damage to target creature.",186
Goblin Firestarter,"Sacrifice Goblin Firestarter: It deals 1 damage to any target. Activate only during your turn, before attackers are declared.",180
Goblin General,"Whenever Goblin General attacks, Goblin creatures you control get +1/+1 until end of turn.",23
Elite Cat Warrior,Forestwalk (This creature can’t be blocked as long as defending player controls a Forest.),17
Ironhoof Ox,Ironhoof Ox can’t be blocked by more than one creature.,44
Wild Ox,Swampwalk (This creature can’t be blocked as long as defending player controls a Swamp.),146
